S No,Maker,Month Wise,TOTAL,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,3GB TECHNOLOGY PVT LTD,0,3,1,0,0,0,0,1,0,0,0,0,5,
2,3S INDUSTRIES PRIVATE LIMITED,41,38,23,1,1,1,6,1,9,6,10,5,142,
3,A1 HEAVY EQUIPMENTS DEVELOPER,8,4,3,5,1,1,0,3,0,1,1,10,37,
4,A3T INCORPORTED,3,3,4,0,0,0,0,0,0,0,0,1,11,
5,AADHYA ENTERPRISES,20,21,25,1,0,0,0,0,0,1,1,0,69,
6,AADITYA EMOTORS INDIA PVT LTD,8,4,2,0,0,0,0,0,0,0,0,0,14,
7,AADITYA GARBAGE PRODUCTS PVT LTD,1,0,0,0,0,0,0,0,0,1,0,0,2,
8,AAHANA COMMERCE PVT LTD,0,0,0,0,0,5,0,2,23,8,2,21,61,
9,AARYA AUTOMOBILES,0,0,0,0,0,0,0,0,0,1,0,0,1,
10,AASHI INDIA AUTOMOBILES PVT LTD,1,3,7,4,0,0,0,0,0,0,0,0,15,
11,A.B. AGRO ENGINEERING WORKS,0,0,0,0,0,0,0,0,1,0,0,0,1,
12,A B EXCAVATORS & EARTHMOVER LTD,1,0,0,0,0,0,0,1,7,0,1,0,10,
13,A B EXCAVATORS & EARTHMOVERS PVT LTD,1,0,0,0,0,0,0,0,0,0,0,0,1,
14,ACCRETION POWER AUTOS,30,30,13,0,0,3,2,9,8,11,5,5,116,
15,ACTION CONSTRUCTION EQUIPMENT LTD.,603,649,761,116,75,352,448,478,631,485,471,576,5645,
16,A D AGRO WORKS,7,10,9,0,0,0,2,4,11,4,6,7,60,
17,ADAPT MOTORS PVT LTD,2,1,1,0,0,0,0,0,0,0,0,0,4,
18,ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,128,69,76,13,1,56,296,822,89,64,109,161,1884,
19,ADIDEV TECHNOA PVT LTD,1,0,0,0,0,0,0,0,8,1,4,0,14,
20,ADISHAKTI TRACTORS,1,0,1,0,0,0,1,5,2,3,0,4,17,
21,ADISHWAR AUTO RIDE INDIA PVT.LTD,0,0,1,0,0,0,0,0,0,1,0,0,2,
22,ADISHWAR AUTO RIDE INDIA PVT LTD,372,467,804,191,0,0,0,26,199,204,186,161,2610,
23,ADITYA AGRO INDUSTRIES,1,0,3,0,0,0,5,8,4,5,9,1,36,
24,ADITYA ENTERPRISES,2,0,0,0,0,0,0,0,0,0,0,0,2,
25,ADITYA SAI INDUSTRIES,10,29,2,0,0,1,3,3,6,4,9,8,75,
